density of cars,density of busses,flow rate,
,,,0
0.159253828,0.078950764,0.552588,0.317155356
,,,0
0.782939741,0.017659327,0.209568,0.818258396
,,,0
0.159736394,0.312419907,0.455452,0.784576209
,,,0
0.111180658,0.105561794,0.54752,0.322304245
,,,0
0.889872954,0.011659416,0.17002,0.913191785
,,,0
0.223680799,0.301190596,0.363844,0.826061992
,,,0
0.748534675,0.046136518,0.218724,0.840807711
,,,0
0.997822008,0.000678429,0.12344,0.999178866
,,,0
0.223721444,0.05328806,0.526756,0.330297563
,,,0
0.174329163,0.016733048,0.545336,0.207795259
,,,0
0.596281475,0.072793763,0.265828,0.741869
,,,0
0.115699177,0.140766446,0.562744,0.397232069
,,,0
0.177729496,0.153320865,0.50082,0.484371225
,,,0
0.791349222,0.044455227,0.209172,0.880259676
,,,0
0.864709832,0.051789772,0.153148,0.968289375
,,,0
0.612455721,0.092718819,0.243344,0.79789336
,,,0
0.142463375,0.356387049,0.428392,0.855237473
,,,0
0.871992729,0.045589613,0.165112,0.963171956
,,,0
0.474961294,0.034079144,0.352604,0.543119582
,,,0
0.888675634,0.002235299,0.173896,0.893146232
,,,0
0.588773592,0.014968925,0.308696,0.618711443
,,,0
0.894059882,0.022278935,0.165628,0.938617753
,,,0
0.888616644,0.05212943,0.145,0.992875504
,,,0
0.274187428,0.298142001,0.35808,0.87047143
,,,0
0.259040716,0.020139542,0.531792,0.2993198
,,,0
0.019747823,0.372239165,0.506516,0.764226153
,,,0
0.390550348,0.221103688,0.28702,0.832757724
,,,0
0.074879243,0.435516011,0.416412,0.945911266
,,,0
0.820204418,0.010842967,0.207676,0.841890352
,,,0
0.727661567,0.053453022,0.24122,0.834567612
,,,0
0.57283033,0.18532929,0.215348,0.94348891
,,,0
0.846649171,0.051537656,0.170672,0.949724483
,,,0
0.411942401,0.133217855,0.347864,0.678378111
,,,0
0.75714179,0.104378335,0.183148,0.96589846
,,,0
0.100175819,0.321363716,0.456192,0.742903252
,,,0
0.80189579,0.092134884,0.15504,0.986165559
,,,0
0.365807725,0.089908168,0.388232,0.545624061
,,,0
0.554925932,0.015927357,0.317456,0.586780646
,,,0
0.960662113,0.0025512,0.14918,0.965764512
,,,0
0.292075298,0.05569164,0.463916,0.403458578
,,,0
0.411585182,0.09468166,0.360056,0.600948503
,,,0
0.794043623,0.025995501,0.20416,0.846034624
,,,0
0.968724102,0.001132889,0.147892,0.97098988
,,,0
0.969083666,0.006468098,0.149556,0.982019861
,,,0
0.773998066,0.105118824,0.189948,0.984235714
,,,0
0.106812063,0.193136748,0.519484,0.493085559
,,,0
0.900299941,0.018879421,0.169928,0.938058783
,,,0
0.798691535,0.066816965,0.1742,0.932325464
,,,0
0.517503968,0.033263402,0.330536,0.584030772
,,,0
0.804698758,4.14E-06,0.212612,0.804707033
,,,0
0.957537712,0.001052665,0.145048,0.959643041
,,,0
0.201616948,0.301645414,0.422624,0.804907775
,,,0
0.803503843,0.093704865,0.161392,0.990913573
,,,0
0.686480032,0.144854504,0.183936,0.97618904
,,,0
0.99838614,0.00017918,0.130448,0.998744499
,,,0
0.313594174,0.150894288,0.400948,0.615382751
,,,0
0.581411214,0.188505255,0.225016,0.958421725
,,,0
0.603208444,0.101817764,0.24842,0.806843971
,,,0
0.748354542,0.084016789,0.19792,0.916388121
,,,0
0.94284154,0.027766599,0.145108,0.998374737
,,,0
